isd,district,county,enrollment_2021,english_learners_2021,el_share_pct,classification,locale,has_public_seizure_plan
881,MAPLE LAKE PUBLIC SCHOOL DISTRICT,Wright County,787,3,0.4,FOUND_MED_POLICY_ONLY,Rural,0
912,MILACA PUBLIC SCHOOL DISTRICT,Mille Lacs County,1673,6,0.4,FOUND_SEIZURE_SPECIFIC,Rural,1
2909,Rock Ridge Public Schools,St. Louis County,2501,8,0.3,FOUND_SEIZURE_SPECIFIC,Rural,1
593,CROOKSTON PUBLIC SCHOOL DISTRICT,Polk County,1158,3,0.3,FOUND_MED_POLICY_ONLY,Town,0
738,HOLDINGFORD PUBLIC SCHOOL DISTRICT,Stearns County,1058,3,0.3,FOUND_MED_POLICY_ONLY,Rural,0
186,PEQUOT LAKES PUBLIC SCHOOLS,Crow Wing County,1771,5,0.3,FOUND_SEIZURE_SPECIFIC,Rural,1
255,Pine Island Public School District,Goodhue County,1493,5,0.3,FOUND_SEIZURE_SPECIFIC,Rural,1
2170,STAPLES-MOTLEY SCHOOL DISTRICT,Todd County,948,3,0.3,FOUND_SEIZURE_SPECIFIC,Rural,1
381,LAKE SUPERIOR PUBLIC SCHOOL DIST.,Lake County,1336,4,0.3,FOUND_MED_POLICY_ONLY,Rural,0
94,CLOQUET PUBLIC SCHOOL DISTRICT,Carlton County,2646,6,0.2,FOUND_SEIZURE_SPECIFIC,Town,1
